order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
66,2273,297,Pasta,2024-12-26,05:28:00,Delivered,1197.51
67,560,51,Sandwich,2024-01-15,18:03:00,Completed,384.34
68,4401,3,Momos,2024-04-11,07:18:00,Delivered,1294.79
69,1517,226,Thali,2024-04-19,06:10:00,Delivered,1474.2
70,3339,58,Roll,2024-11-17,04:13:00,Delivered,837.22
71,2362,286,Momos,2024-02-11,02:48:00,Preparing,279.7
72,2556,228,Pizza,2025-02-21,09:55:00,Delivered,710.59
73,3897,189,Paneer Butter Masala,2024-01-14,23:00:00,Delivered,265.14
74,697,62,Paneer Butter Masala,2025-02-08,13:40:00,Delivered,1469.05
75,1631,174,Pizza,2025-02-17,04:11:00,Completed,706.09
76,4768,140,Roll,2025-02-13,12:09:00,Delivered,952.37
77,1208,233,Veg Biryani,2024-05-05,08:33:00,Delivered,438.53
78,433,35,Idli,2024-01-28,06:06:00,Delivered,1057.3
79,790,40,Thali,2025-06-16,16:48:00,Delivered,398.67
80,2144,278,Pasta,2024-01-19,01:04:00,Delivered,1334.57
81,3083,227,Idli,2024-02-06,01:07:00,Completed,1029.99
82,1345,252,Dosa,2024-05-17,10:39:00,Delivered,792.69
83,4537,277,Noodles,2025-04-26,16:14:00,Delivered,335.71
84,4842,194,Noodles,2024-12-27,09:42:00,Preparing,158.84
85,2858,299,Chicken Biryani,2024-12-15,12:59:00,Completed,596.3
86,2001,127,Pizza,2024-11-15,20:13:00,Completed,1069.43
87,1391,11,Fried Rice,2024-11-29,01:16:00,Delivered,1311.45
88,2185,11,Momos,2025-04-25,20:04:00,Completed,556.79
89,801,251,Veg Biryani,2024-07-29,11:28:00,Delivered,1239.81
90,2454,187,Dosa,2024-07-25,16:57:00,Delivered,1464.27
91,1754,148,Burger,2024-02-18,10:08:00,Delivered,674.8
92,754,297,Veg Biryani,2024-12-10,09:19:00,Completed,1225.64
93,629,155,Fried Rice,2024-11-03,14:46:00,Delivered,552.43
94,4222,233,Thali,2024-07-03,00:38:00,Delivered,832.39
95,3829,138,Salad,2025-06-29,20:58:00,Delivered,1371.43
96,491,268,Pizza,2025-01-08,15:47:00,Completed,327.65
97,3567,211,Pasta,2024-03-06,21:38:00,Completed,689.16
98,2101,121,Dosa,2024-09-01,03:52:00,Completed,158.23
99,3977,287,Dosa,2025-03-08,22:04:00,Delivered,398.75
100,2276,282,Paneer Butter Masala,2024-02-13,16:35:00,Delivered,196.35
101,2442,33,Salad,2025-02-20,12:24:00,Delivered,1342.29
102,1152,121,Veg Biryani,2025-05-27,04:07:00,Delivered,1263.99
103,2063,255,Salad,2024-04-02,08:07:00,Delivered,1187.0
104,3195,121,Salad,2025-03-09,07:26:00,Completed,361.71
105,2084,29,Idli,2025-06-30,12:47:00,Delivered,275.89
106,2019,143,Salad,2024-05-28,12:23:00,Delivered,627.48
107,4963,18,Sandwich,2024-02-25,23:34:00,Delivered,1046.81
108,2973,63,Fried Rice,2024-08-30,15:06:00,Delivered,1375.51
109,1929,153,Pizza,2024-06-13,14:58:00,Delivered,1333.66
110,278,141,Sandwich,2024-03-23,16:46:00,Delivered,689.89
111,823,83,Momos,2024-09-24,17:16:00,Completed,700.8
112,2677,233,Momos,2024-01-29,01:46:00,Delivered,373.56
113,26,206,Pizza,2024-11-08,10:42:00,Delivered,272.94
114,1066,211,Roll,2024-11-23,15:24:00,Delivered,1134.54
115,2684,145,Pizza,2024-03-27,14:08:00,Delivered,663.02
116,1839,11,Chicken Biryani,2024-08-22,03:02:00,Delivered,393.61
117,3286,220,Noodles,2024-09-23,05:05:00,Completed,627.73
118,4308,223,Roll,2025-04-09,22:59:00,Delivered,429.79
119,2181,148,Momos,2025-05-21,13:02:00,Completed,1301.75
120,2319,97,Dosa,2024-07-03,13:56:00,Delivered,159.71
121,3695,128,Pasta,2025-04-14,02:55:00,Completed,303.82
122,1739,197,Momos,2025-03-09,20:23:00,Cancelled,251.49
123,427,171,Salad,2024-08-28,16:04:00,Delivered,1495.5
124,4901,24,Chicken Biryani,2024-09-16,17:13:00,Delivered,537.46
125,4584,22,Noodles,2024-07-02,08:53:00,Completed,800.12
126,2600,272,Dosa,2024-05-25,08:53:00,Completed,180.94
127,2302,185,Salad,2025-03-16,09:39:00,Delivered,483.24
128,4236,161,Dosa,2024-06-17,10:46:00,Delivered,797.96
129,3605,28,Pizza,2024-06-01,01:51:00,Completed,169.49
130,3576,60,Salad,2025-05-21,01:23:00,Delivered,1484.57
131,922,76,Veg Biryani,2024-12-23,03:11:00,Completed,512.08
132,2235,289,Salad,2024-08-05,19:55:00,Delivered,125.69
133,630,127,Roll,2025-05-25,23:06:00,Completed,573.55
134,1000,202,Pasta,2024-04-18,11:02:00,Completed,231.87
135,3720,138,Noodles,2024-01-06,11:14:00,Delivered,1025.52
136,4663,67,Pizza,2024-02-19,21:58:00,Cancelled,1221.44
137,580,281,Noodles,2025-01-25,03:09:00,Delivered,365.65
138,731,11,Sandwich,2024-08-01,05:33:00,Delivered,675.31
139,1263,62,Burger,2025-05-17,14:45:00,Delivered,1391.95
140,2942,50,Sandwich,2025-01-11,17:29:00,Completed,734.71
141,4918,217,Veg Biryani,2025-03-08,12:34:00,Delivered,719.07
142,2800,238,Thali,2024-08-17,22:06:00,Delivered,334.0
143,4299,43,Burger,2025-04-24,14:55:00,Completed,1226.13
144,2461,128,Fried Rice,2025-03-13,10:05:00,Delivered,880.37
145,4184,218,Dosa,2024-04-06,15:51:00,Delivered,904.5
146,670,258,Chicken Biryani,2024-04-26,22:34:00,Delivered,1204.92
147,3410,153,Pasta,2025-04-10,22:52:00,Delivered,1234.81
148,1730,95,Veg Biryani,2024-09-22,22:59:00,Completed,857.44
149,1407,245,Idli,2025-02-18,22:27:00,Delivered,950.6
150,2956,203,Roll,2024-11-05,02:59:00,Completed,139.15
151,1542,14,Pizza,2025-05-07,22:08:00,Completed,453.66
152,4413,98,Veg Biryani,2024-11-04,15:49:00,Completed,702.19
153,3648,249,Idli,2024-01-21,15:20:00,Delivered,397.85
154,418,171,Chicken Biryani,2024-04-15,21:31:00,Delivered,715.87
155,4741,284,Burger,2024-02-07,16:38:00,Delivered,828.43
156,3997,119,Momos,2024-03-03,18:01:00,Completed,915.44
157,3418,243,Veg Biryani,2025-05-21,21:15:00,Delivered,598.53
158,2360,99,Idli,2024-12-18,14:57:00,Completed,423.19
159,4933,240,Paneer Butter Masala,2024-10-27,13:19:00,Delivered,1269.65
160,3870,83,Noodles,2024-07-31,09:38:00,Delivered,238.94
161,1281,252,Veg Biryani,2025-03-01,16:51:00,Preparing,409.02
162,2137,183,Thali,2024-06-11,05:57:00,Delivered,1354.35
163,3528,59,Noodles,2024-08-20,04:07:00,Delivered,791.18
164,383,286,Burger,2024-06-03,23:33:00,Delivered,953.92
165,3587,235,Sandwich,2024-04-23,03:36:00,Delivered,961.33
166,344,260,Veg Biryani,2024-06-20,21:30:00,Completed,403.43
167,3617,260,Idli,2024-04-11,05:15:00,Delivered,581.76
168,3598,213,Roll,2024-01-07,08:22:00,Delivered,773.66
169,2180,191,Momos,2025-02-28,12:18:00,Delivered,458.72
170,1870,71,Roll,2025-03-15,14:06:00,Delivered,1359.33
171,2964,16,Idli,2024-05-29,00:20:00,Delivered,833.94
172,3291,85,Dosa,2024-03-03,13:25:00,Delivered,1031.04
173,474,267,Burger,2025-03-05,13:43:00,Delivered,1087.09
174,2570,177,Chicken Biryani,2024-10-13,18:00:00,Delivered,322.67
175,4460,227,Momos,2024-12-19,22:08:00,Delivered,392.27
176,2741,200,Momos,2024-05-09,17:45:00,Delivered,511.82
177,4271,175,Roll,2024-06-12,00:47:00,Completed,1219.31
178,2490,217,Fried Rice,2024-04-23,02:02:00,Delivered,478.46
179,1022,230,Burger,2024-01-06,15:28:00,Preparing,445.81
180,4369,120,Pasta,2024-11-02,09:42:00,Delivered,1244.81
181,3094,267,Momos,2024-09-10,03:35:00,Preparing,923.67
182,803,76,Momos,2025-03-11,14:03:00,Completed,205.83
183,3655,40,Pasta,2025-06-22,13:44:00,Delivered,836.14
184,4087,217,Idli,2025-05-16,14:13:00,Delivered,319.2
185,1060,263,Sandwich,2025-06-25,04:01:00,Delivered,748.5
186,4580,190,Salad,2024-05-01,20:32:00,Delivered,272.26
187,4283,79,Veg Biryani,2025-01-15,10:24:00,Delivered,538.5
188,1165,216,Chicken Biryani,2024-11-08,09:40:00,Completed,1250.39
189,2857,35,Sandwich,2024-02-15,14:15:00,Delivered,547.39
190,3894,68,Roll,2024-05-21,17:13:00,Delivered,1171.12
191,2665,46,Roll,2025-02-23,13:13:00,Completed,665.65
192,3630,143,Thali,2024-03-31,05:39:00,Delivered,909.35
193,4597,64,Thali,2024-03-28,06:34:00,Delivered,867.73
194,4275,97,Roll,2025-05-02,17:09:00,Delivered,285.99
195,156,141,Roll,2024-07-29,08:22:00,Delivered,1277.71
196,4371,165,Dosa,2024-02-16,16:46:00,Delivered,152.1
197,4325,163,Dosa,2024-09-20,03:06:00,Completed,257.08
198,2094,46,Paneer Butter Masala,2024-11-10,13:54:00,Delivered,201.3
199,480,153,Dosa,2024-04-11,10:55:00,Completed,1352.36
200,991,27,Pizza,2024-09-02,20:22:00,Delivered,800.31
201,943,138,Chicken Biryani,2024-11-21,15:51:00,Delivered,210.33
202,153,138,Fried Rice,2024-04-13,08:24:00,Delivered,1019.14
203,3654,43,Sandwich,2025-05-27,06:56:00,Delivered,316.47
204,4404,217,Salad,2025-04-07,01:25:00,Completed,761.22
205,1372,1,Chicken Biryani,2025-05-08,09:19:00,Delivered,1278.49
206,1743,300,Sandwich,2025-06-06,09:36:00,Completed,1140.07
207,3239,63,Sandwich,2024-05-23,18:59:00,Delivered,1332.03
208,2608,176,Thali,2024-09-24,15:27:00,Cancelled,1033.94
209,2799,108,Idli,2024-12-02,00:32:00,Delivered,304.54
210,36,5,Thali,2024-06-26,14:06:00,Delivered,1081.16
211,665,40,Fried Rice,2024-02-01,22:55:00,Delivered,290.31
212,4926,184,Dosa,2024-06-30,23:47:00,Delivered,292.17
213,1815,11,Roll,2024-10-14,23:13:00,Delivered,613.79
214,2484,114,Pizza,2025-05-20,12:23:00,Completed,800.12
215,59,101,Sandwich,2025-02-09,03:47:00,Delivered,905.36
216,4635,290,Paneer Butter Masala,2024-03-07,20:04:00,Completed,209.77
217,4286,141,Pizza,2024-01-24,23:39:00,Delivered,967.95
218,17,219,Thali,2024-02-23,11:01:00,Delivered,1493.25
219,3823,254,Pasta,2025-06-13,01:29:00,Delivered,429.88
220,2591,3,Dosa,2024-07-18,11:25:00,Completed,909.11
221,3472,39,Salad,2024-09-12,06:43:00,Completed,548.91
222,3932,222,Roll,2024-01-25,20:13:00,Delivered,1410.38
223,3880,123,Pasta,2024-02-25,11:23:00,Delivered,446.71
224,3593,49,Thali,2025-04-02,19:45:00,Completed,1464.85
225,533,66,Chicken Biryani,2025-03-28,01:52:00,Preparing,984.14
226,4582,27,Burger,2025-01-25,13:42:00,Completed,1157.71
227,87,233,Dosa,2025-04-20,14:36:00,Delivered,974.54
228,213,233,Fried Rice,2024-12-02,20:03:00,Completed,261.71
229,1587,294,Paneer Butter Masala,2025-06-05,08:44:00,Delivered,784.33
230,1128,23,Chicken Biryani,2024-05-10,10:38:00,Delivered,828.11
231,4782,278,Roll,2024-05-29,05:01:00,Delivered,952.59
232,4241,75,Chicken Biryani,2024-08-31,17:18:00,Delivered,892.04
233,1642,104,Roll,2024-03-11,11:39:00,Completed,776.5
234,2713,297,Noodles,2024-12-09,21:01:00,Cancelled,573.49
235,3722,22,Idli,2024-08-12,00:07:00,Delivered,1076.64
236,3939,170,Roll,2025-01-19,07:00:00,Delivered,1260.0
237,2932,16,Fried Rice,2024-04-27,04:51:00,Cancelled,388.28
238,2949,23,Chicken Biryani,2024-07-22,06:45:00,Cancelled,422.14
239,1428,174,Sandwich,2024-09-08,06:05:00,Completed,362.99
240,1125,195,Thali,2024-04-23,11:33:00,Delivered,541.0
241,1404,270,Roll,2025-03-20,02:13:00,Completed,1338.16
242,4363,194,Momos,2025-01-18,10:51:00,Delivered,1468.23
243,4812,97,Sandwich,2024-10-28,05:04:00,Preparing,193.5
244,4164,300,Salad,2025-05-15,07:08:00,Delivered,1202.84
245,1372,261,Dosa,2025-06-05,12:46:00,Delivered,760.69
246,3960,254,Idli,2024-10-01,19:50:00,Delivered,1391.24
247,1799,104,Idli,2024-08-28,13:30:00,Completed,706.53
248,3065,131,Fried Rice,2024-03-27,04:35:00,Delivered,527.17
249,338,239,Fried Rice,2024-12-10,14:32:00,Delivered,716.86
250,2237,196,Chicken Biryani,2024-07-02,15:04:00,Completed,1010.59
251,4111,263,Fried Rice,2024-03-21,09:26:00,Delivered,255.8
252,1641,171,Pizza,2024-12-03,08:32:00,Preparing,1245.48
253,4949,71,Sandwich,2024-09-24,00:17:00,Delivered,508.95
254,3324,297,Roll,2024-01-13,16:06:00,Delivered,1485.2
255,1865,117,Momos,2024-08-02,16:11:00,Completed,930.07
256,3780,175,Roll,2024-03-28,10:41:00,Delivered,711.73
257,3594,231,Sandwich,2024-01-31,12:47:00,Completed,1325.78
258,2906,174,Pizza,2025-03-05,14:31:00,Delivered,676.65
259,2672,12,Noodles,2024-02-02,04:44:00,Completed,1434.64
260,4940,294,Sandwich,2025-02-04,13:00:00,Completed,659.08
261,890,169,Noodles,2025-04-07,21:48:00,Delivered,248.67
262,263,251,Chicken Biryani,2024-07-10,06:47:00,Completed,1448.93
263,4296,36,Idli,2024-02-28,12:34:00,Delivered,357.12
264,908,67,Fried Rice,2025-03-04,16:19:00,Delivered,656.81
265,1685,159,Dosa,2025-05-01,05:25:00,Delivered,1416.03
266,3760,142,Pizza,2024-01-08,04:52:00,Delivered,1257.92
267,2695,292,Salad,2025-05-17,15:42:00,Delivered,173.94
268,3739,178,Momos,2024-10-31,13:20:00,Delivered,1237.78
269,3540,235,Dosa,2024-07-06,23:50:00,Delivered,663.1
270,1294,141,Salad,2024-10-25,22:45:00,Delivered,1083.3
271,3370,284,Veg Biryani,2025-01-12,02:36:00,Delivered,816.06
272,1351,130,Pizza,2025-06-02,01:31:00,Delivered,221.01
273,3123,176,Momos,2025-02-12,06:38:00,Delivered,134.82
274,2680,238,Idli,2025-04-17,02:19:00,Completed,1026.69
275,2287,83,Paneer Butter Masala,2024-01-19,20:43:00,Completed,525.92
276,636,6,Thali,2024-10-06,05:14:00,Delivered,365.56
277,4361,111,Idli,2024-02-18,21:40:00,Delivered,1004.6
278,3200,158,Idli,2024-02-23,20:25:00,Completed,1185.93
279,3070,123,Pizza,2024-04-03,00:32:00,Delivered,1485.22
280,518,113,Salad,2024-04-08,22:40:00,Completed,350.53
281,2680,166,Fried Rice,2024-07-13,21:19:00,Completed,867.55
282,1752,55,Pasta,2024-11-27,05:55:00,Completed,1022.51
283,1804,34,Thali,2024-10-12,22:11:00,Delivered,180.64
284,4906,256,Veg Biryani,2024-06-24,08:35:00,Delivered,947.82
285,1089,171,Paneer Butter Masala,2024-11-21,22:44:00,Delivered,582.45
286,4187,120,Fried Rice,2024-01-14,07:56:00,Completed,1167.34
287,3511,125,Noodles,2024-03-22,02:02:00,Completed,808.24
288,311,122,Salad,2025-03-30,11:13:00,Completed,558.2
289,3399,148,Roll,2024-01-25,07:49:00,Delivered,577.15
290,2035,114,Noodles,2025-01-25,17:47:00,Preparing,730.46
291,574,99,Chicken Biryani,2024-05-24,06:58:00,Completed,359.67
292,1675,121,Fried Rice,2024-03-21,14:32:00,Delivered,549.82
293,1446,128,Burger,2024-10-19,19:40:00,Delivered,997.13
294,656,185,Dosa,2025-01-21,05:43:00,Delivered,703.32
295,1277,247,Chicken Biryani,2025-01-25,14:35:00,Delivered,1167.22
296,1252,284,Momos,2024-06-28,08:46:00,Delivered,542.07
297,3940,37,Pasta,2024-05-19,16:01:00,Completed,1384.26
298,3066,252,Dosa,2025-03-01,13:28:00,Delivered,634.94
299,4820,37,Dosa,2024-02-09,04:14:00,Delivered,900.54
300,2092,179,Fried Rice,2025-05-15,21:40:00,Delivered,1081.11
301,2022,125,Idli,2024-02-05,12:20:00,Delivered,1053.47
302,2141,234,Thali,2024-05-30,08:40:00,Completed,918.11
303,957,48,Thali,2025-01-28,13:34:00,Delivered,1464.32
304,3465,85,Sandwich,2025-03-13,08:37:00,Delivered,810.89
305,4802,158,Momos,2025-02-25,03:02:00,Completed,910.2
306,2204,108,Salad,2025-02-11,23:51:00,Preparing,1482.1
307,573,214,Fried Rice,2025-03-02,22:20:00,Cancelled,714.71
308,3070,96,Momos,2024-05-17,06:45:00,Delivered,813.61
309,1742,96,Pizza,2024-03-01,06:14:00,Delivered,384.8
310,895,86,Veg Biryani,2024-10-27,02:55:00,Delivered,501.93
311,3915,249,Thali,2024-04-13,00:19:00,Completed,1157.48
312,343,50,Pizza,2025-06-18,00:14:00,Delivered,837.7
313,3981,243,Roll,2024-12-11,20:37:00,Delivered,631.68
314,1963,185,Thali,2025-02-12,12:55:00,Delivered,1465.92
315,26,234,Sandwich,2025-02-15,04:44:00,Completed,289.59
316,2037,189,Idli,2025-05-01,17:34:00,Delivered,379.35
317,2951,24,Roll,2024-11-29,23:08:00,Delivered,957.33
318,667,179,Dosa,2025-05-02,22:28:00,Delivered,1369.18
319,1599,74,Sandwich,2025-06-16,19:31:00,Delivered,1109.0
320,714,155,Sandwich,2025-04-23,05:44:00,Delivered,1437.97
321,1994,109,Paneer Butter Masala,2024-04-01,03:36:00,Delivered,1107.76
322,2297,113,Momos,2024-09-20,22:43:00,Delivered,1358.57
323,4379,252,Veg Biryani,2024-12-06,07:38:00,Delivered,1177.55
324,3089,196,Thali,2025-03-23,07:57:00,Completed,279.65
325,4852,97,Momos,2024-04-28,19:33:00,Delivered,1297.6
326,14,160,Chicken Biryani,2024-07-13,13:14:00,Delivered,561.11
327,1035,267,Thali,2024-08-15,03:38:00,Delivered,862.84
328,2432,113,Idli,2025-04-11,05:01:00,Delivered,321.3
329,282,164,Burger,2025-05-29,23:30:00,Completed,1495.65
330,1768,254,Burger,2025-01-20,02:00:00,Delivered,579.74
331,1844,27,Salad,2024-07-02,16:38:00,Delivered,532.76
332,1305,12,Fried Rice,2025-02-05,11:31:00,Delivered,773.32
333,589,271,Momos,2024-10-16,09:38:00,Delivered,389.23
334,1073,166,Roll,2024-02-25,10:22:00,Delivered,345.9
335,2385,75,Pizza,2024-08-11,06:40:00,Delivered,132.6
336,1210,193,Dosa,2024-06-21,01:55:00,Completed,1464.34
337,4223,174,Noodles,2025-03-20,05:04:00,Delivered,677.51
338,4003,155,Momos,2024-06-25,22:16:00,Delivered,1190.67
339,3799,196,Burger,2025-03-31,12:32:00,Completed,280.95
340,4176,116,Chicken Biryani,2025-05-06,09:20:00,Delivered,250.48
341,3553,153,Noodles,2024-05-08,03:23:00,Preparing,1105.0
342,3321,11,Dosa,2025-06-26,16:40:00,Completed,1275.26
343,1017,107,Thali,2024-04-30,06:10:00,Delivered,1079.4
344,2575,63,Chicken Biryani,2024-05-11,19:37:00,Completed,342.47
345,287,44,Veg Biryani,2025-06-02,10:11:00,Delivered,871.31
346,2463,24,Fried Rice,2024-10-27,22:29:00,Delivered,313.0
347,2885,276,Fried Rice,2024-08-02,23:28:00,Completed,1251.27
348,2456,111,Paneer Butter Masala,2024-08-09,20:11:00,Delivered,297.32
349,2089,134,Dosa,2024-06-16,13:39:00,Delivered,1423.74
350,1174,275,Pizza,2024-03-13,21:29:00,Delivered,1493.6
351,3049,289,Thali,2025-06-07,20:38:00,Completed,1253.76
352,213,127,Veg Biryani,2024-10-03,04:15:00,Delivered,1063.89
353,729,186,Salad,2024-12-07,09:19:00,Completed,1221.37
354,1821,194,Veg Biryani,2024-05-06,05:59:00,Delivered,1328.21
355,783,271,Pasta,2024-10-15,18:49:00,Cancelled,256.71
356,1399,163,Roll,2025-02-02,06:10:00,Preparing,1142.99
357,4872,207,Idli,2024-05-10,08:50:00,Completed,828.72
358,3104,291,Momos,2024-09-30,01:48:00,Delivered,1002.09
359,4987,215,Momos,2025-04-13,06:14:00,Delivered,608.52
360,3505,267,Momos,2024-08-22,10:25:00,Delivered,239.98
361,739,41,Veg Biryani,2024-09-02,03:11:00,Completed,199.23
362,4038,6,Dosa,2025-06-04,04:39:00,Delivered,830.72
363,3322,8,Noodles,2024-07-13,00:14:00,Delivered,1089.58
364,4327,22,Noodles,2025-04-04,05:45:00,Delivered,1337.06
365,3007,69,Fried Rice,2024-12-27,01:44:00,Delivered,643.15
366,2047,277,Sandwich,2024-04-30,09:54:00,Cancelled,525.09
367,19,292,Dosa,2024-08-10,10:24:00,Delivered,1443.61
368,3794,250,Chicken Biryani,2024-12-30,00:12:00,Delivered,573.4
369,1526,206,Pasta,2024-01-10,03:27:00,Delivered,392.61
370,3365,64,Salad,2025-05-14,00:14:00,Completed,1026.15
371,2452,187,Dosa,2024-07-05,18:18:00,Delivered,270.0
372,1326,72,Pasta,2025-03-20,00:11:00,Delivered,1321.31
373,330,69,Dosa,2025-03-07,11:18:00,Delivered,341.23
374,2178,61,Dosa,2025-05-15,18:46:00,Delivered,1060.8
375,3276,257,Momos,2025-02-02,04:29:00,Completed,268.87
376,4097,7,Roll,2024-08-30,01:46:00,Delivered,592.15
377,3559,246,Burger,2024-10-15,16:35:00,Completed,711.95
378,1531,128,Burger,2024-04-27,08:59:00,Delivered,461.35
379,845,258,Noodles,2024-07-04,06:26:00,Delivered,935.85
380,1084,206,Chicken Biryani,2024-10-07,06:33:00,Delivered,708.3
381,418,195,Dosa,2025-06-21,10:27:00,Delivered,1472.57
382,503,262,Dosa,2024-02-22,10:23:00,Completed,621.74
383,2024,164,Salad,2024-02-18,06:12:00,Completed,191.94
384,3868,144,Salad,2024-04-13,14:42:00,Completed,1428.69
385,794,7,Thali,2024-05-13,11:18:00,Delivered,1237.85
386,4954,191,Pizza,2024-10-09,07:10:00,Delivered,240.38
387,4931,62,Chicken Biryani,2024-07-14,06:35:00,Delivered,1397.19
388,2470,243,Roll,2024-07-25,18:12:00,Delivered,180.46
389,2069,287,Pasta,2025-01-09,15:18:00,Delivered,282.05
390,4291,258,Roll,2024-01-23,05:41:00,Delivered,1081.45
391,4639,32,Roll,2024-07-13,13:34:00,Delivered,854.81
392,4173,197,Fried Rice,2025-02-03,13:40:00,Delivered,405.56
393,4851,5,Salad,2025-06-09,15:32:00,Delivered,1114.4
394,2428,138,Fried Rice,2024-05-01,05:50:00,Completed,856.32
395,2276,69,Burger,2024-02-22,21:55:00,Delivered,1485.56
396,2847,189,Pasta,2024-03-26,18:44:00,Cancelled,304.38
397,2416,167,Chicken Biryani,2024-01-11,12:08:00,Completed,1452.01
398,4403,299,Veg Biryani,2025-01-26,22:19:00,Cancelled,984.2
399,4513,106,Sandwich,2025-03-28,07:31:00,Preparing,401.41
400,3240,80,Idli,2024-08-25,14:48:00,Delivered,1364.99
401,1516,91,Pizza,2025-05-17,06:09:00,Delivered,149.05
402,4980,97,Veg Biryani,2024-05-26,02:27:00,Delivered,747.93
403,4316,71,Momos,2024-01-13,20:35:00,Completed,649.91
404,359,68,Pizza,2024-03-26,09:08:00,Completed,985.79
